date|consumption|dpi|unemp
1974 Q1|2652.4|3072.1|5.1
1974 Q2|2662|3045.5|5.2
1974 Q3|2672.2|3053.3|5.6
1974 Q4|2628.4|3036.7|6.6
1975 Q1|2648.8|3015|8.3
1975 Q2|2695.4|3156.6|8.9
1975 Q3|2734.7|3114.9|8.5
1975 Q4|2764.6|3147.6|8.3
1976 Q1|2824.7|3201.9|7.7
1976 Q2|2850.9|3229|7.6
1976 Q3|2880.3|3259.7|7.7
1976 Q4|2919.6|3283.5|7.8
1977 Q1|2954.7|3305.4|7.5
1977 Q2|2970.5|3326.8|7.1
1977 Q3|2999.1|3376.5|6.9
1977 Q4|3044|3433.8|6.7
1978 Q1|3060.8|3466.3|6.3
1978 Q2|3127|3513|6
1978 Q3|3143.1|3548.1|6
1978 Q4|3167.8|3582.6|5.9
1979 Q1|3188.6|3620.7|5.9
1979 Q2|3184.3|3607.1|5.7
1979 Q3|3213.9|3628.8|5.9
1979 Q4|3225.7|3657.8|6
1980 Q1|3222.4|3678.5|6.3
1980 Q2|3149.2|3612.2|7.3
1980 Q3|3181.2|3637.6|7.7
1980 Q4|3219.4|3703.8|7.4
1981 Q1|3233.1|3713.5|7.4
1981 Q2|3235.5|3696.6|7.4
1981 Q3|3250.5|3777|7.4
1981 Q4|3225|3777.2|8.2
1982 Q1|3244.3|3769.4|8.8
1982 Q2|3253.4|3791.4|9.4
1982 Q3|3274.6|3799.4|9.9
1982 Q4|3329.6|3806.4|10.7
1983 Q1|3360.1|3831.2|10.4
1983 Q2|3430.1|3857.8|10.1
1983 Q3|3484.7|3928.6|9.4
1983 Q4|3542.2|4010.2|8.5
1984 Q1|3579.7|4103|7.9
1984 Q2|3628.3|4182.4|7.4
1984 Q3|3653.5|4258.8|7.4
1984 Q4|3700.9|4286.1|7.3
1985 Q1|3756.8|4287.6|7.2
1985 Q2|3791.5|4368.7|7.3
1985 Q3|3860.9|4346.6|7.2
1985 Q4|3874.2|4388.3|7
1986 Q1|3907.9|4444.5|7
1986 Q2|3950.4|4489.3|7.2
1986 Q3|4019.7|4507.9|7
1986 Q4|4046.8|4504.5|6.8
1987 Q1|4049.7|4556.9|6.6
1987 Q2|4101.5|4512.7|6.3
1987 Q3|4147|4600.7|6
1987 Q4|4155.3|4659.6|5.8
1988 Q1|4228|4724.1|5.7
1988 Q2|4256.8|4758.9|5.5
1988 Q3|4291.6|4801.9|5.5
1988 Q4|4341.4|4851.4|5.3
1989 Q1|4357.1|4903.5|5.2
1989 Q2|4374.8|4891|5.2
1989 Q3|4413.4|4902.7|5.2
1989 Q4|4429.4|4928.8|5.4
1990 Q1|4466|5001.6|5.3
1990 Q2|4478.8|5026.6|5.3
1990 Q3|4495.6|5032.7|5.7
1990 Q4|4457.7|4995.8|6.1
1991 Q1|4437.5|4999.5|6.6
1991 Q2|4469.9|5033.3|6.8
1991 Q3|4484.3|5045.4|6.9
1991 Q4|4474.8|5053.8|7.1
1992 Q1|4544.8|5138.8|7.4
1992 Q2|4566.7|5172.5|7.6
1992 Q3|4600.5|5174.2|7.6
1992 Q4|4665.9|5271.5|7.4
1993 Q1|4674.9|5181.2|7.1
1993 Q2|4721.5|5258.6|7.1
1993 Q3|4776.9|5266.8|6.8
1993 Q4|4822.3|5338.5|6.6
1994 Q1|4866.6|5293.2|6.6
1994 Q2|4907.9|5381.2|6.2
1994 Q3|4944.5|5420.9|6
1994 Q4|4993.6|5493.4|5.6
1995 Q1|5011.6|5515.4|5.5
1995 Q2|5059.6|5509|5.7
1995 Q3|5099.2|5546.6|5.7
1995 Q4|5132.1|5585.3|5.6
1996 Q1|5174.3|5622|5.5
1996 Q2|5229.5|5649.4|5.5
1996 Q3|5254.3|5709.7|5.3
1996 Q4|5291.9|5729.9|5.3
1997 Q1|5350.7|5771.8|5.2
1997 Q2|5375.7|5821.2|5
1997 Q3|5462.1|5877.3|4.9
1997 Q4|5507.1|5947.5|4.7
1998 Q1|5576.3|6064.5|4.6
1998 Q2|5660.2|6153.6|4.4
1998 Q3|5713.7|6209.9|4.5
1998 Q4|5784.7|6246.6|4.4
1999 Q1|5854|6268.2|4.3
1999 Q2|5936.1|6300|4.3
1999 Q3|6000|6332.4|4.2
1999 Q4|6083.6|6379.2|4.1
2000 Q1|6171.7|6431.6|4
2000 Q2|6226.3|6523.7|4
2000 Q3|6292.1|6566.5|4.1
2000 Q4|6341.1|6634.9|4
